sentence_index,sentence_original,clause,term,opinion,category,polarity,polarity_score,
3,it s near the subway station it s easy to get to the castle,it s near the subway station,subway station,near,Amenity,Positive,0.5833,
3,it s near the subway station it s easy to get to the castle,it s easy to get to the castle,castle,easy,Amenity,Positive,0.9779,
5,no you didn t,no you didn t,,,Experience,Negative,0.584,
6,very good,very good,,very good,Experience,Positive,0.9977,
8,that s great,that s great,,great,Experience,Positive,0.9853,
10,the apartment is spacious and clean,the apartment is spacious and clean,apartment,"spacious, clean",Facility,Positive,0.9974,
11,i m not doing anything,i m not doing anything,,,Experience,Negative,0.5844,
12,very good,very good,,very good,Experience,Positive,0.9977,
13,the house is fully equipped,the house is fully equipped,house,fully equipped,Facility,Positive,0.9966,
14,there s a washing machine a clothes dryer a hair dryer a sewing machine,there s a washing machine,washing machine,,Facility,Positive,0.9749,
14,there s a washing machine a clothes dryer a hair dryer a sewing machine,a clothes dryer,clothes dryer,,Facility,Positive,0.8905,
14,there s a washing machine a clothes dryer a hair dryer a sewing machine,a hair dryer,hair dryer,,Facility,Positive,0.8447,
14,there s a washing machine a clothes dryer a hair dryer a sewing machine,a sewing machine,sewing machine,,Facility,Positive,0.94,
15,mr dinh has been supporting his family for the past two days,mr dinh has been supporting his family for the past two days,,,Service,Positive,0.7693,
16,the location of the apartment is quite nice and the living space is comfortable,the location of the apartment is quite nice,"location, apartment",quite nice,Amenity,Positive,0.9921,
16,the location of the apartment is quite nice and the living space is comfortable,the living space is comfortable,living space,comfortable,Facility,Positive,0.9946,
17,very good,very good,,very good,Experience,Positive,0.9977,
19,that s very interesting,that s very interesting,,very interesting,Experience,Positive,0.9941,
20,clean will full furnishings your master is very enthusiastic,clean will full furnishings your master is very enthusiastic,,enthusiastic,Service,Positive,0.9963,
21,no you didn t,no you didn t,,,Experience,Negative,0.584,
23,we ve got all the equipment we need,we ve got all the equipment we need,equipment,,Facility,Positive,0.9784,
25,you re an enthusiastic sweet owner,you re an enthusiastic sweet owner,owner,"sweet, enthusiastic",Service,Positive,0.9956,
26,like the other rooms here it s a bit old but it s very well used,like the other rooms here it s a bit old,room,a bit old,Facility,Negative,0.6202,
26,like the other rooms here it s a bit old but it s very well used,it s very well used,room,well used,Branding,Positive,0.9834,
27,the apartment neat clean,the apartment neat clean,apartment,"neat, clean",Facility,Positive,0.9985,
28,room s good compared to the neighborhood,room s good compared to the neighborhood,"room, neighborhood",good,Facility,Positive,0.9945,
30,nice,nice,,nice,Experience,Positive,0.9951,
31,very good,very good,,very good,Experience,Positive,0.9977,
32,the owner is very considerate,the owner is very considerate,owner,very considerate,Service,Positive,0.9884,
33,very good,very good,,very good,Experience,Positive,0.9977,
34,the lounge is clean,the lounge is clean,lounge,clean,Facility,Positive,0.9749,
36,the staff is very enthusiastic supportive all the time everywhere,the staff is very enthusiastic,staff,very enthusiastic,Service,Positive,0.9904,
36,the staff is very enthusiastic supportive all the time everywhere,the staff is very supportive,staff,supportive,Service,Positive,0.9916,
36,the staff is very enthusiastic supportive all the time everywhere,the staff is very enthusiastic supportive all the time,staff,"very enthusiastic, supportive",Service,Positive,0.9981,
36,the staff is very enthusiastic supportive all the time everywhere,the staff is very enthusiastic supportive all the time everywhere,staff,"very enthusiastic, supportive",Service,Positive,0.9981,
37,i ll be back if i get the chance,i ll be back if i get the chance,,,Loyalty,Positive,0.8648,
40,very good,very good,,very good,Experience,Positive,0.9977,
41,diny was very kind and helpful all the time,diny was very kind,,very kind,Service,Positive,0.9831,
41,diny was very kind and helpful all the time,diny was very helpful,,very helpful,Service,Positive,0.9824,
41,diny was very kind and helpful all the time,diny was helpful all the time,,helpful,Service,Positive,0.9836,
42,the room has an incredible view over hcmc and it is located 5 mins away from landmark 81 which is must see,the room has an incredible view over hcmc,room,incredible,Experience,Positive,0.96,
42,the room has an incredible view over hcmc and it is located 5 mins away from landmark 81 which is must see,it is located 5 mins away from landmark 81,landmark 81,"located, away from",Amenity,Positive,0.788,
42,the room has an incredible view over hcmc and it is located 5 mins away from landmark 81 which is must see,landmark 81 which is must see,landmark 81,must see,Amenity,Positive,0.9959,
45,diny thank you and see you again,diny thank you and see you again,,,Service,Positive,0.9751,
48,diny was really helpful he gave us many tips and helped us with departure,diny was really helpful,,really helpful,Service,Positive,0.9781,
48,diny was really helpful he gave us many tips and helped us with departure,he gave us many tips,,many,Service,Positive,0.9927,
48,diny was really helpful he gave us many tips and helped us with departure,helped us with departure,departure,helped,Service,Positive,0.7567,
49,i can definitely recommend it,i can definitely recommend it,,definitely recommend,Loyalty,Positive,0.9929,
50,perfect place to stay with your family,perfect place to stay with your family,place,perfect,Branding,Positive,0.9956,
51,everything was as we wished for a host who looked after us the place and its location and its facilities,everything was as we wished for,everything,wished,Experience,Positive,0.9678,
51,everything was as we wished for a host who looked after us the place and its location and its facilities,a host who looked after us,host,looked after,Service,Positive,0.9679,
51,everything was as we wished for a host who looked after us the place and its location and its facilities,the place and its location,"place,location",,Branding,Neutral,0.8721,
51,everything was as we wished for a host who looked after us the place and its location and its facilities,its facilities,facilities,,Facility,Neutral,0.5301,
53,the sofa which was our second bed needs to be replaced it is quite dated and extremely uncomfortable to sleep on,the sofa which was our second bed needs to be replaced,sofa,needs to be replaced,Facility,Negative,0.5593,
53,the sofa which was our second bed needs to be replaced it is quite dated and extremely uncomfortable to sleep on,it is quite dated and extremely uncomfortable to sleep on,sofa,"quite dated, extremely uncomfortable",Facility,Negative,0.9612,
55,nice place with a beautiful view and equipped with all what you need,nice place with a beautiful view,"place, view","nice, beautiful",Branding,Positive,0.9941,
55,nice place with a beautiful view and equipped with all what you need,equipped with all what you need,,equipped,Facility,Positive,0.9943,
57,the rooftop pool is a nice extra,the rooftop pool is a nice extra,rooftop pool,nice extra,Facility,Positive,0.9873,
59,would definitely come back again,would definitely come back again,,definitely come back,Loyalty,Positive,0.9918,
60,the place is a bit more outside the center and the metro stations are quite difficult to reach or to leave if you don t want to use vehicles,the place is a bit more outside the center,place,outside the center,Amenity,Negative,0.4081,
60,the place is a bit more outside the center and the metro stations are quite difficult to reach or to leave if you don t want to use vehicles,the metro stations are quite difficult to reach,metro stations,quite difficult to reach,Amenity,Negative,0.9899,
60,the place is a bit more outside the center and the metro stations are quite difficult to reach or to leave if you don t want to use vehicles,the metro stations are quite difficult to leave if you don t want to use vehicles,"metro stations, vehicles",quite difficult to leave,Amenity,Negative,0.9706,
61,so i would still use taxi s even if they are not as cheap as the metro,so i would still use taxi s even if they are not as cheap as the metro,taxi,not as cheap,Amenity,Neutral,0.6425,
62,that s great,that s great,,great,Experience,Positive,0.9853,
65,the apartment is well equipped and comfortable with a beautiful city view we stayed on the 21st floor and access to a swimming pool on the 25th floor,the apartment is well equipped and comfortable,apartment,"well equipped, comfortable",Facility,Positive,0.9972,
65,the apartment is well equipped and comfortable with a beautiful city view we stayed on the 21st floor and access to a swimming pool on the 25th floor,with a beautiful city view,view,beautiful,Experience,Positive,0.9673,
65,the apartment is well equipped and comfortable with a beautiful city view we stayed on the 21st floor and access to a swimming pool on the 25th floor,we stayed on the 21st floor,floor,,Experience,Neutral,0.5862,
65,the apartment is well equipped and comfortable with a beautiful city view we stayed on the 21st floor and access to a swimming pool on the 25th floor,and access to a swimming pool on the 25th floor,swimming pool,,Experience,Neutral,0.9471,
67,we were very satisfied with our stay and would love to come back,we were very satisfied with our stay,stay,very satisfied,Experience,Positive,0.9957,
67,we were very satisfied with our stay and would love to come back,would love to come back,stay,,Loyalty,Positive,0.9839,
68,i m not doing anything,i m not doing anything,,,Experience,Positive,0.5844,
69,very good,very good,,very good,Experience,Positive,0.9977,
71,if you want to experience true vietnamese local street food then this is in a great area,if you want to experience true vietnamese local street food then this is in a great area,"food, area",great,Amenity,Positive,0.9477,
74,apartment was nice good air con comfortable bed big shower cubicle all very clean and tidy,apartment was nice good air con comfortable bed big shower cubicle all very clean and tidy,"bed, apartment","nice, good, comfortable, big, clean, tidy",Facility,Positive,0.9978,
76,kitchen we didn t use as we ate out everyday but was clean and presentable,kitchen we didn t use as we ate out everyday,kitchen,,Facility,Neutral,0.6457,
76,kitchen we didn t use as we ate out everyday but was clean and presentable,was clean and presentable,kitchen,"clean, presentable",Facility,Positive,0.996,
77,swimming pool was big enough to do a few lengths in with privacy at the top,swimming pool was big enough to do a few lengths in,pool,big enough,Facility,Positive,0.7136,
77,swimming pool was big enough to do a few lengths in with privacy at the top,privacy at the top,privacy,top,Amenity,Positive,0.969,
78,no one can see into the pool area from above,no one can see into the pool area from above,pool area,,Facility,Negative,0.4529,
80,all in all it was great would use again,all in all it was great,,great,Experience,Positive,0.9949,
80,all in all it was great would use again,would use again,,would use again,Loyalty,Positive,0.9826,
84,the host diny is honestly the most helpful guy you will ever meet he helped us with anything we asked,the host diny is honestly the most helpful guy you will ever meet,host,"honestly, most helpful",Service,Positive,0.9507,
84,the host diny is honestly the most helpful guy you will ever meet he helped us with anything we asked,he helped us with anything we asked,,helped,Service,Positive,0.9934,
85,we would recommend him and this accomodation to anyone,we would recommend him,,recommend,Loyalty,Positive,0.9888,
85,we would recommend him and this accomodation to anyone,this accomodation,accomodation,,Branding,Neutral,0.8053,
