entity_id,review_id,clause,sentence_original,term,opinion,category,top3_sim,score_table,polarity,polarity_scores
3000584,9672019_R1,it's easy to get to the castle,it's near the subway station. it's easy to get to the castle.,castle,easy,Amenity,"[('Facility', 0.2345069795846939), ('Amenity', 0.17812377214431763), ('Experience', 0.13333900272846222)]","     category     score
0     Amenity  0.366088
1  Experience  0.340760
2    Facility  0.293152",Positive,"{'Positive': 0.9592183232307434, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R2,loves the big screen tv,"the owner is enthusiastic, sweet, fully furnished, loves the big screen tv.",big screen tv,loves,Amenity,"[('Facility', 0.14196377992630005), ('Amenity', 0.10858466476202011), ('Experience', 0.10065753012895584)]","     category     score
0     Amenity  0.392775
1  Experience  0.356467
2    Facility  0.250758",Positive,"{'Positive': 0.9910736680030823, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R4,the location of the apartment is quite nice,the location of the apartment is quite nice and the living space is comfortable.,location,nice,Amenity,"[('Facility', 0.43040037155151367), ('Amenity', 0.2287609577178955), ('Experience', 0.17044499516487122)]","     category     score
0     Amenity  0.542185
1  Experience  0.297183
2    Facility  0.160633",Positive,"{'Positive': 0.9921154379844666, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R4,the living space is comfortable,the location of the apartment is quite nice and the living space is comfortable.,living space,comfortable,Amenity,"[('Facility', 0.3503844439983368), ('Experience', 0.3153264820575714), ('Amenity', 0.19862762093544006)]","     category     score
0     Amenity  0.422858
1  Experience  0.332394
2    Facility  0.244748",Positive,"{'Positive': 0.9945584535598755, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R8,like the other rooms here,"like the other rooms here, it's a bit old, but it's very well used.",rooms,like,Amenity,"[('Facility', 0.5849289894104004), ('Experience', 0.3242291212081909), ('Amenity', 0.27206116914749146)]","     category     score
0     Amenity  0.396091
1  Experience  0.370749
2    Facility  0.233160",Positive,"{'Positive': 0.650412380695343, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R13,the room has an incredible view over hcmc,"the room has an incredible view over hcmc and it is located 5 mins away from landmark 81, which is must see.",room,incredible,Amenity,"[('Facility', 0.5124017000198364), ('Experience', 0.29727903008461), ('Amenity', 0.17267054319381714)]","     category     score
0     Amenity  0.393575
1  Experience  0.382118
2    Facility  0.224307",Positive,"{'Positive': 0.9599579572677612, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R15,it is quite dated and extremely uncomfortable to sleep on,"the sofa, which was our second bed, needs to be replaced it is quite dated and extremely uncomfortable to sleep on.",room,"dated, uncomfortable",Amenity,"[('Facility', 0.4424833059310913), ('Experience', 0.31287524104118347), ('Amenity', 0.17571362853050232)]","     category     score
0     Amenity  0.344304
1  Experience  0.342633
2    Facility  0.313063",Negative,"{'Negative': 0.9611597061157227, 'Positive': 0.0, 'Neutral': 0.0}"
3000584,9672019_R17,and share his knowledge,"we could contact diny at any time, and he was always ready to help and share his knowledge whether it was about local attractions, good restaurants and street food spots, or transportation options.",,,Amenity,"[('Loyalty', 0.04728137329220772), ('Facility', 0.011387689039111137), ('Amenity', -0.002413082169368863)]","   category     score
0   Amenity  0.448570
1  Facility  0.294717
2   Loyalty  0.256714",Positive,"{'Positive': 0.8514629006385803, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R2,the owner is enthusiastic,"the owner is enthusiastic, sweet, fully furnished, loves the big screen tv.",owner,enthusiastic,Branding,"[('Loyalty', 0.1934298574924469), ('Branding', 0.19047251343727112), ('Amenity', 0.12398545444011688)]","   category     score
0  Branding  0.613645
1   Amenity  0.232207
2   Loyalty  0.154147",Positive,"{'Positive': 0.9685475826263428, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R4,the house is fully equipped.,the house is fully equipped.,house,fully equipped,Branding,"[('Facility', 0.34071800112724304), ('Amenity', 0.1938105672597885), ('Branding', 0.102037712931633)]","   category     score
0  Branding  0.733283
1   Amenity  0.164015
2  Facility  0.102702",Positive,"{'Positive': 0.917397141456604, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R4,a clothes dryer,"there's a washing machine, a clothes dryer, a hair dryer, a sewing machine.",clothes dryer,,Branding,"[('Facility', 0.1526842713356018), ('Branding', 0.06416107714176178), ('Amenity', 0.05897972732782364)]","   category     score
0  Branding  0.657166
1   Amenity  0.237597
2  Facility  0.105237",Neutral,"{'Neutral': 0.8905324339866638, 'Positive': 0.0, 'Negative': 0.0}"
3000584,9672019_R4,a hair dryer,"there's a washing machine, a clothes dryer, a hair dryer, a sewing machine.",a hair dryer,,Branding,"[('Facility', 0.11846162378787994), ('Branding', 0.04497279226779938), ('Loyalty', 0.02549600973725319)]","   category     score
0  Branding  0.626793
1   Loyalty  0.243583
2  Facility  0.129625",Neutral,"{'Neutral': 0.8446574211120605, 'Positive': 0.0, 'Negative': 0.0}"
3000584,9672019_R8,"you're an enthusiastic, sweet owner.","you're an enthusiastic, sweet owner.",owner,"enthusiastic, sweet",Branding,"[('Loyalty', 0.20393387973308563), ('Branding', 0.18075190484523773), ('Amenity', 0.12206274271011353)]","   category     score
0  Branding  0.663296
1   Amenity  0.190539
2   Loyalty  0.146165",Positive,"{'Positive': 0.8569589257240295, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R10,the owner is very considerate.,the owner is very considerate.,owner,very considerate,Branding,"[('Branding', 0.16609114408493042), ('Loyalty', 0.15065720677375793), ('Amenity', 0.11478628218173981)]","   category     score
0  Branding  0.705940
1   Loyalty  0.151293
2   Amenity  0.142768",Positive,"{'Positive': 0.512194037437439, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R12,with a nice view,"clean, comfortable, with a nice view.",,nice,Branding,"[('Facility', 0.0791410431265831), ('Branding', 0.05044931918382645), ('Experience', 0.046932123601436615)]","     category     score
0    Branding  0.651254
1    Facility  0.180120
2  Experience  0.168626",Positive,"{'Positive': 0.9731287360191345, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R13,"it is located 5 mins away from landmark 81, which is must see","the room has an incredible view over hcmc and it is located 5 mins away from landmark 81, which is must see.",landmark 81,must see,Branding,"[('Facility', 0.2608169913291931), ('Amenity', 0.1868605762720108), ('Branding', 0.14465570449829102)]","   category     score
0  Branding  0.752107
1   Amenity  0.133038
2  Facility  0.114854",Positive,"{'Positive': 0.9125046730041504, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R16,with a beautiful view,nice place with a beautiful view and equipped with all what you need.,,beautiful,Branding,"[('Facility', 0.0872773826122284), ('Branding', 0.07275804877281189), ('Amenity', 0.0630144327878952)]","   category     score
0  Branding  0.651815
1  Facility  0.176587
2   Amenity  0.171598",Positive,"{'Positive': 0.9620502591133118, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R1,view over the city center,view over the city center and the chilling new subway line.,view,,Experience,"[('Facility', 0.13550257682800293), ('Amenity', 0.1027056872844696), ('Experience', 0.08545902371406555)]","     category     score
0  Experience  0.371067
1    Facility  0.320883
2     Amenity  0.308051",Positive,"{'Positive': 0.886135995388031, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R6,that's very interesting.,that's very interesting.,,very interesting,Experience,"[('Facility', -0.013265673071146011), ('Amenity', -0.01830216497182846), ('Experience', -0.054826769977808)]","     category     score
0  Experience  0.401330
1     Amenity  0.368872
2    Facility  0.229797",Positive,"{'Positive': 0.9057629704475403, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R13,you have to enjoy the pool on the roof as well.,you have to enjoy the pool on the roof as well.,pool on the roof,enjoy,Experience,"[('Facility', 0.3166593313217163), ('Amenity', 0.2825769782066345), ('Experience', 0.15422824025154114)]","     category     score
0  Experience  0.460790
1     Amenity  0.325804
2    Facility  0.213407",Positive,"{'Positive': 0.5057857632637024, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R14,i can definitely recommend it!.,i can definitely recommend it!.,,definitely recommend it,Experience,"[('Facility', 0.08093027025461197), ('Loyalty', 0.025535976514220238), ('Experience', 0.024612974375486374)]","     category     score
0  Experience  0.439010
1     Loyalty  0.312721
2    Facility  0.248269",Positive,"{'Positive': 0.9869009852409363, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R15,perfect place to stay,perfect place to stay with your family,place,perfect,Experience,"[('Facility', 0.469413161277771), ('Experience', 0.3100210726261139), ('Amenity', 0.26958638429641724)]","     category     score
0  Experience  0.416858
1    Facility  0.316820
2     Amenity  0.266322",Positive,"{'Positive': 0.9969075322151184, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R15,really good place to stay,really good place to stay during your visit to hcmc.,place,good,Experience,"[('Facility', 0.4400408864021301), ('Experience', 0.2630746364593506), ('Amenity', 0.254072904586792)]","     category     score
0  Experience  0.496324
1    Facility  0.282574
2     Amenity  0.221103",Positive,"{'Positive': 0.9963018894195557, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R16,the rooftop pool is a nice extra.,the rooftop pool is a nice extra.,rooftop pool,nice,Experience,"[('Facility', 0.35867366194725037), ('Amenity', 0.2785220742225647), ('Experience', 0.18018288910388947)]","     category     score
0  Experience  0.457968
1     Amenity  0.275193
2    Facility  0.266839",Positive,"{'Positive': 0.6677895188331604, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R17,and access to a swimming pool on the 25th floor,"the apartment is well equipped and comfortable, with a beautiful city view we stayed on the 21st floor and access to a swimming pool on the 25th floor.",swimming pool,,Facility,"[('Facility', 0.3405016362667084), ('Amenity', 0.1827206164598465), ('Experience', 0.12475176155567169)]","     category     score
0    Facility  0.438930
1  Experience  0.303124
2     Amenity  0.257945",Neutral,"{'Neutral': 0.9471485614776611, 'Positive': 0.0, 'Negative': 0.0}"
3000584,9672019_R18,swimming pool was big enough to do a few lengths in,swimming pool was big enough to do a few lengths in with privacy at the top.,swimming pool,big enough to do a few lengths in,Facility,"[('Facility', 0.2794845998287201), ('Amenity', 0.14446543157100677), ('Experience', 0.09443577378988266)]","     category     score
0    Facility  0.479388
1     Amenity  0.265843
2  Experience  0.254768",Positive,"{'Positive': 0.7135987877845764, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R20,the pool on the top had a fantastic view,decorated the room for us which was nice and the pool on the top had a fantastic view.,pool,fantastic,Facility,"[('Facility', 0.29217952489852905), ('Amenity', 0.18964432179927826), ('Experience', 0.1888270378112793)]","     category     score
0    Facility  0.381785
1  Experience  0.318574
2     Amenity  0.299641",Positive,"{'Positive': 0.953670859336853, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R23,a great pool to relax in when walking around gets too hot,very spacious property with really good amenities! incredible view of the city and a great pool to relax in when walking around gets too hot.,pool,great,Facility,"[('Facility', 0.3372534215450287), ('Amenity', 0.22114567458629608), ('Experience', 0.1576136201620102)]","     category     score
0    Facility  0.420238
1     Amenity  0.328504
2  Experience  0.251258",Positive,"{'Positive': 0.7946943640708923, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R1,the right choice.,the right choice.,,right,Loyalty,"[('Amenity', 0.027914855629205704), ('Loyalty', 0.025945909321308136), ('Facility', 0.02238161489367485)]","   category    score
0   Loyalty  0.36590
1   Amenity  0.32279
2  Facility  0.31131",Positive,"{'Positive': 0.6302539110183716, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R8,"the apartment, neat, clean.","the apartment, neat, clean.",apartment,"neat, clean",Loyalty,"[('Facility', 0.4058176577091217), ('Amenity', 0.29444536566734314), ('Loyalty', 0.1929393857717514)]","   category     score
0   Loyalty  0.632088
1   Amenity  0.184634
2  Facility  0.183278",Positive,"{'Positive': 0.9890328645706177, 'Negative': 0.0, 'Neutral': 0.0}"
